Acc;Gyr;Label
10,30358608;0,003777647;Ride
45,3627133;0,167470789;Ride
4,001021027;0,03011822;Ride
11,19757716;0,01099264;Ride
5,39473743;0,051487752;Ride
0,553021637;0,001692547;Ride
3,50605E-30;3,42388E-33;Ride
3,675130294;0,045777525;Ride
23,27979143;0,004345141;Ride
1,913078155;0,002727327;Ride
3,686412707;0,003442751;Ride
14,2793057;0,003062485;Ride
4,734976923;0,002124353;Ride
2,024949954;0,002570215;Ride
3,50605E-30;0;Ride
5,796298243;0,006801452;Ride
14,09845015;0,065508826;Ride
4,685911868;0,036540441;Ride
14,5304544;0,077007218;Ride
4,312638884;0,182655973;Ride
99,69095361;0,061371489;Ride
0,370323541;0,003688735;Ride
3,50605E-30;3,42388E-33;Ride
1,216655711;0,001078872;Ride
0;3,42388E-33;Ride
0,078889504;0,011040179;Ride
3,50605E-30;2,13992E-34;Ride
2,518191601;0,003886104;Ride
13,56328112;0,004430212;Ride
7,707009468;0,001856935;Ride
0;2,13992E-34;Ride
4,184067321;1,00244E-05;Ride
0;2,13992E-34;Ride
0,946817357;2,13992E-34;Ride
3,100114275;2,13992E-34;Ride
4,541675972;2,13992E-34;Ride
0;2,13992E-34;Ride
0,617046369;2,13992E-34;Ride
1,812201174;2,13992E-34;Ride
1,600854234;2,13992E-34;Ride
3,50605E-30;2,13992E-34;Ride
4,651390829;0,110521276;Ride
1,241294447;0,011228812;Ride
0,379796512;0,012710638;Ride
3,50605E-30;0;Ride
1,303721668;0,211150426;Ride
0;8,55969E-34;Ride
0,462527928;0,002927458;Ride
3,50605E-30;0;Ride
1,77820852;0,003443406;Ride
2,617119609;0,001489373;Ride
0,551550908;0,000341388;Ride
3,50605E-30;2,13992E-34;Ride
3,532387027;0,003262284;Ride
8,76512E-31;0;Ride
10,57759811;0;Ride
14,5940293;0;Ride
5,450551439;0;Ride
8,218473939;0;Ride
1,627363102;0;Ride
4,652742477;0;Ride
2,076291245;0;Ride
3,50605E-30;0;Ride
0,003210993;0,001107195;Ride
3,50605E-30;0;Ride
1,165953147;0,022452787;Ride
7,756036762;0,066761271;Ride
4,375119519;0,000879143;Ride
7,962529072;0,0572825;Ride
5,335408501;0,019335207;Ride
6,153487969;0,001490138;Ride
0;2,13992E-34;Ride
6,992077624;7,78582E-05;Ride
0;2,13992E-34;Ride
3,667083022;0,007845212;Ride
7,134539591;0,019968908;Ride
8,225382177;0,004615083;Ride
6,236513203;0,002732685;Ride
0;0;Ride
1,395775248;0,004979005;Ride
3,50605E-30;8,55969E-34;Ride
14,79531103;0,048763506;Ride
2,674845177;0,045823903;Ride
0,598800692;0,001543299;Ride
0;2,13992E-34;Ride
13,15444042;2,13992E-34;Ride
3,50605E-30;2,13992E-34;Ride
19,5127003;0,023547732;Ride
9,170989891;0,008942735;Ride
40,98999048;0,015073741;Ride
18,59427306;0,00890589;Ride
28,82164632;0,022854997;Ride
19,29010949;0,010586305;Ride
16,34045716;0,012490219;Ride
13,58791927;0,018863217;Ride
38,19972754;0,044487998;Ride
9,651381896;0,005677748;Ride
8,941518848;0,011955588;Ride
12,65968371;0,004797996;Ride
15,21412052;0,006915084;Ride
12,72055416;0,008941115;Ride
1,829460329;0,017022592;Ride
28,77311475;0,141242709;Ride
3,356904695;0,049140826;Ride
31,35352485;0,019074506;Ride
41,39151815;0,015525116;Ride
76,7506801;0,003999564;Ride
14,67629523;0,03238125;Ride
18,25187012;0,01215546;Ride
20,16451498;0,001673685;Ride
46,7412309;0,003832547;Ride
14,86687354;0,007066177;Ride
13,32888834;0,01916327;Ride
19,31633219;0,026780683;Ride
10,72675795;0,026695678;Ride
6,262638128;0,019195883;Ride
17,93737602;0,001929924;Ride
4,52637455;0,015153381;Ride
11,16763687;0,016060951;Ride
17,94391133;0,106621308;Ride
39,95357746;0,0180202;Ride
17,45944121;0,003955957;Ride
22,42059496;0,017926269;Ride
31,52594361;0,006837222;Ride
47,23863575;0,030493348;Ride
27,77820856;0,007937095;Ride
24,28548881;0,005218034;Ride
55,9797729;0,001535938;Ride
26,83067278;0,002322208;Ride
35,83460232;0,002735369;Ride
6,896399416;0,018443068;Ride
20,03584395;0,015978281;Ride
6,739582614;0,076387284;Ride
8,037254326;0,165299127;Ride
13,11905017;0,023261238;Ride
3,391458785;0,011398342;Ride
0,010578439;0,00034959;Ride
0,001006271;0,000448841;Ride
